"","id","tweet_id","candidate","tweet_created","sentiment","tweet_location","user_timezone","text"
"12",12,"629697184259305472","Mike Huckabee","2015-08-07 09:54:42 -0700","Positive","Fargo, ND","Central Time (US & Canada)","RT @WayneDupreeShow: Just woke up to tweet this out #GOPDebate   Best line of the night via @GovMikeHuckabee http://t.co/6OV5hxHIcV"
"13",13,"629697183499943936","No candidate mentioned","2015-08-07 09:54:42 -0700","Negative","","","Me reading my family's comments about how great the #GOPDebate was http://t.co/gIaGjPygXZ"
"14",14,"629697183210696704","Jeb Bush","2015-08-07 09:54:42 -0700","Neutral","Montgomery, AL ","Central Time (US & Canada)","RT @ArcticFox2016: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/TtFG7KYcd9"""
"15",15,"629697182828892160","Scott Walker","2015-08-07 09:54:42 -0700","Positive","San Diego, California","Pacific Time (US & Canada)","RT @pattonoswalt: I loved Scott Walker as Mark Harmon's romantic rival in SUMMER SCHOOL. Look it up. #GOPDebate"
"16",16,"629697179515535360","Chris Christie","2015-08-07 09:54:41 -0700","Negative","","Central Time (US & Canada)","Hey @ChrisChristie exploiting the tragedy of 9/11 for your own political gain is @rudygiulianiGOP's thing #GOPDebate"
"17",17,"629697178362093568","Donald Trump","2015-08-07 09:54:41 -0700","Negative","","","RT @CarolCNN: #DonaldTrump under fire for comments about women @PeterBeinart @SL_Schaeffer @IWF @@MyRkiger weigh in on #GOPdebate http://t.…"
"18",18,"629697177485312000","Donald Trump","2015-08-07 09:54:40 -0700","Negative","","Mountain Time (US & Canada)","RT @johncardillo: Guess who had most speaking time at the #GOPDebate. @FoxNews moderators with 31.7% of time. http://t.co/2WSUT0c0Lx"
"19",19,"629697176642449408","No candidate mentioned","2015-08-07 09:54:40 -0700","Negative","","Eastern Time (US & Canada)","reason comment is funny 'in case you're ignorant' is the #gop #tcot are the reason the government isn't working for the people #gopdebate"
"20",20,"629697175979585536","Mike Huckabee","2015-08-07 09:54:40 -0700","Negative","NJ","Eastern Time (US & Canada)","RT @PamelaGeller: Huckabee: Paying for transgender surgery for soldiers, sailors and airmen does not make our country safer #Ha #GOPDebate"
"21",21,"629697171898527744","Ted Cruz","2015-08-07 09:54:39 -0700","Positive","fripp island,sc/ southeast ga","","RT @ChuckNellis: Cruz has class &amp; truth, that gets my vote! #GOPDebate"
"22",22,"629697171579797504","Donald Trump","2015-08-07 09:54:39 -0700","Negative","Conspiracy Theoryland","Pacific Time (US & Canada)","RT @mchamric: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/nwGx8G8JWr”"
"23",23,"629697170476654592","No candidate mentioned","2015-08-07 09:54:39 -0700","Negative","Lynnwood, WA","Pacific Time (US & Canada)","RT @erinmallorylong: No *I* hate Planned Parenthood and women more! NO I HATE PLANNED PARENTHOOD AND WOMEN MORE!!!!! #GOPDebate"
"24",24,"629697168098504704","No candidate mentioned","2015-08-07 09:54:38 -0700","Neutral","Vancouver, Canada","Eastern Time (US & Canada)","RT @thekevinryder: #GOPDebate (Vine by @dabulldawg88) https://t.co/XKxVDrADce"
"25",25,"629697168052334592","No candidate mentioned","2015-08-07 09:54:38 -0700","Negative","","","RT @MrPooni: Fox News trying to convince us young Black Americans are more worried about ISIS than police terrorism #GOPDebate http://t.co/…"
"26",26,"629697165548482560","Marco Rubio","2015-08-07 09:54:38 -0700","Negative","Sydney, New South Wales","","#GOPDebate rankings: worst to be performance - Rubio, Kasich, Christie, Bush, Trump, Cruz, Walker, Paul, Huckabee, Carson."
"27",27,"629697165128957952","Scott Walker","2015-08-07 09:54:38 -0700","Negative","USA ","","RT @TheBaxterBean: Scott Walker's Abortion Ban Allows Rapist Father To Sue For Emotional Distress http://t.co/rHMvgumuir #GOPDebate @Badger…"
"28",28,"629697164999028736","No candidate mentioned","2015-08-07 09:54:38 -0700","Negative","","Eastern Time (US & Canada)","RT @feministabulous: It's not a competition, but how have we moved so far on gay rights but women's rights is worse than it's ever been? #G…"
"29",29,"629697162574573568","Donald Trump","2015-08-07 09:54:37 -0700","Negative","Cleveland Texas","Central Time (US & Canada)","RT @mch7576: RT “@TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/pRy2QPCWfu””"
"30",30,"629697161274478592","No candidate mentioned","2015-08-07 09:54:37 -0700","Negative","EveryWhere","Eastern Time (US & Canada)","RT @HillaryClinton: Watch the #GOPdebate? Bet you feel like donating to a Democrat right about now. http://t.co/pGlQCqQgOP http://t.co/QP1e…"
"31",31,"629697160142004224","No candidate mentioned","2015-08-07 09:54:36 -0700","Negative","Green Bay, WI","","@fbhw they're going to need to borrow the train horn for the next #GOPDebate ! The little bell was wimpy! #hornmeansyouredone"
"32",32,"629697158351073280","Ted Cruz","2015-08-07 09:54:36 -0700","Negative","","Atlantic Time (Canada)","RT @LisaVikingstad: Ted Cruz at the #GOPDebate will be like Ted Cruz in bed. He will keep a confusingly sad look on his face and refuse to …"
"33",33,"629697156811722752","No candidate mentioned","2015-08-07 09:54:36 -0700","Neutral","European Union","Bratislava","The First #GOPDebate: Social Media Reaction and More http://t.co/X6KUVSkltF"
"34",34,"629697156807544832","No candidate mentioned","2015-08-07 09:54:36 -0700","Neutral","Canada","Eastern Time (US & Canada)","#SocialMedia: The First #GOPDebate: Social Media Reaction and More http://t.co/ogoYfNyiKj"
"35",35,"629697155687686144","No candidate mentioned","2015-08-07 09:54:35 -0700","Negative","News about tech and more!","Pacific Time (US & Canada)","RT WinesdayPodcast : An update on FoxNews tech failures for the #GOPDebate http://t.co/FGGlf2J5HU http://t.co/Zw35DkUozi"
"36",36,"629697155070951424","No candidate mentioned","2015-08-07 09:54:35 -0700","Negative","United States of America","Mazatlan","RT @AmyMek: The Torched has been passed -&gt;.@CandyCrowley is no longer the most Famous Political Assassin! Congratulations @megynkelly, U Wi…"
"37",37,"629697154706210816","","2015-08-07 09:54:35 -0700","Negative","","","RT @stockwizards3: Trump/Carson ticket would win in a landslide... @realDonaldTrump @seanhannity @AnnCoulter #Republican #potus #Trump2016 …"
"38",38,"629697153288400896","Jeb Bush","2015-08-07 09:54:35 -0700","Negative","","","RT @kvxrdashian: Jeb Bush: ""Obama is at fault, not my brother, because Obama didn't clean up the mess my brother made."" #GOPDebate http://t…"
"39",39,"629697146883715072","No candidate mentioned","2015-08-07 09:54:33 -0700","Negative","Arizona","Arizona","RT @ali: After the Fox News #GOPDebate, we primary voters are none the wiser on the policy plans these folks are putting forth. Journalism …"
"40",40,"629697146644623360","No candidate mentioned","2015-08-07 09:54:33 -0700","Neutral","","","RT @itsashlyperez: listening to fetty wap while packing because i'm a true american #GOPDebate #doesthishashtagexpire?"
"41",41,"629697146485350400","Donald Trump","2015-08-07 09:54:33 -0700","Negative","Chicago, IL","Central Time (US & Canada)","RT @mgell: Trump is a cross between the shrug emoji and President Business from the Lego movie. #GOPDebate"
"42",42,"629697146019840000","No candidate mentioned","2015-08-07 09:54:33 -0700","Negative","","Eastern Time (US & Canada)","RT @JamelleMyBelle: Meanwhile, in the White House...  #GOPDebate http://t.co/nouUUt5hKq"
"43",43,"629697145856094208","No candidate mentioned","2015-08-07 09:54:33 -0700","Neutral","","Arizona","RT @RowdyGentleman: If you’re planning out a #GOPDebate drinking game right now, you’re a Rowdy Gentleman."
"44",44,"629697142077169664","No candidate mentioned","2015-08-07 09:54:32 -0700","Negative","Tac","Pacific Time (US & Canada)","RT @brownblaze: PLEASE RT. #KKKorGOP #GOPDebate http://t.co/YaqYAC3uV3"
"45",45,"629697140802125824","Donald Trump","2015-08-07 09:54:32 -0700","Negative","Washington, DC","Atlantic Time (Canada)","Trump thinks criticism of his misogynistic remarks is a ""political correctness"" problem. Nope, it's a pervasive #sexism problem. #GOPDebate"
"46",46,"629697140625780736","No candidate mentioned","2015-08-07 09:54:32 -0700","Negative","","Central Time (US & Canada)","RT @LeKarmaSucre: How the #GOPDebate handled #BlackLivesMatter   http://t.co/8ZGdY6lPCT"
"47",47,"629697139657076736","Donald Trump","2015-08-07 09:54:31 -0700","Neutral","","","RT @palmaceiahome1: The goal of #FoxNews last night was to take out Trump and pave the way for a RINO like Bush or Kasich. #GOPDebate"
"48",48,"629697135672430592","Donald Trump","2015-08-07 09:54:31 -0700","Neutral","California","","RT @philstockworld: From our Live Chat Room: #GOPDebate #Trump #Futures $SPY #NonFarmPayrolls #Jobs #Netflix -- http://t.co/0K06Sf81rq http…"
"49",49,"629697132455424000","Donald Trump","2015-08-07 09:54:30 -0700","Positive","","","“@DanScavino: #GOPDebate w/ @realDonaldTrump delivered the highest ratings in the history of presidential debates. #Trump2016 Fox say thanks"
"50",50,"629697124616273920","Mike Huckabee","2015-08-07 09:54:28 -0700","Negative","Richmond, VA","Eastern Time (US & Canada)","RT @gov: Most-Tweeted @GovMikeHuckabee #GOPDebate moment: saying purpose of military ""to kill people/break things"" re trans servicemembers"
"51",51,"629697122309435392","No candidate mentioned","2015-08-07 09:54:27 -0700","Neutral","Fort Worth","New Delhi","RT @ariannahuff: The best and worst from the #GOPDebate http://t.co/YkI30j7hhO"
"52",52,"629697118748471296","Rand Paul","2015-08-07 09:54:26 -0700","Positive","U.S. city with the most Cubans","Atlantic Time (Canada)","RT @megynkelly: .@ChrisStirewalt: Big moments were @RandPaul vs. @ChrisChristie, and @realDonaldTrump reaction to women question. #KellyFil…"
"53",53,"629697116303028224","No candidate mentioned","2015-08-07 09:54:26 -0700","Negative","Denver, CO","Central Time (US & Canada)","RT @STYLEMOM: Here's a question, WHY in the hell are WOMEN &amp; our body parts even in this debate? Foh, stop it, it's not 1965 wtf #GOPDebate…"
"54",54,"629697115900391424","Donald Trump","2015-08-07 09:54:26 -0700","Negative","Los Angeles","Pacific Time (US & Canada)","@rushlimbaugh Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fat? #GOPDebate"
"55",55,"629697115887828992","No candidate mentioned","2015-08-07 09:54:26 -0700","Negative","Houston, TX","Central Time (US & Canada)","RT @ChuckNellis: I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate"
"56",56,"629697113656586240","No candidate mentioned","2015-08-07 09:54:25 -0700","Negative","Midgard","Mountain Time (US & Canada)","RT @theskysgoneout: To non-Christians, #GOPDebate ""God"" questions underline how little anyone really cares about religious minorities. Chri…"
"57",57,"629697111794286592","No candidate mentioned","2015-08-07 09:54:25 -0700","Negative","U.S.A","Central Time (US & Canada)","RT @Bipartisanism: The #GOPDebate response to #BlackLivesMatter was pathetic. http://t.co/isMXbrRM0h"
"58",58,"629697110485663744","No candidate mentioned","2015-08-07 09:54:25 -0700","Negative","Rhinebeck, NY","","RT @factcheckdotorg: .@JebBush said he cut FL taxes by $19B. But that includes cuts in estate taxes mandated by federal law. #GOPDebate. ht…"
"59",59,"629697109881696256","No candidate mentioned","2015-08-07 09:54:24 -0700","Negative","NW Florida","Central Time (US & Canada)","RT @mydaughtersarmy: Dear GOP, If you want to stop abortions...   #GOPDebate  http://t.co/RbL1t4iPx6"
"60",60,"629697107566309376","Ted Cruz","2015-08-07 09:54:24 -0700","Positive","","","RT @KarrattiPaul: Join ISIS and sign your death warrant, Signed @tedcruz next President of the US<ed><U+00AE><U+00B9><ed><U+00B3><U+00A6>  #GOPDebate #WakeUpAmerica #CruzCrew htt…"
"61",61,"629697107201495040","No candidate mentioned","2015-08-07 09:54:24 -0700","Negative","Delaware","Eastern Time (US & Canada)","RT @P0TUS: #GOPDebate closing statements: http://t.co/S15NLilLso"
"62",62,"629697105838383104","No candidate mentioned","2015-08-07 09:54:23 -0700","Negative","Florida,, usually","Eastern Time (US & Canada)","RT @AmyMek: Status <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> Single   I broke up with @FoxNews last night!   Goodbye @megynkelly, @BretBaier &amp; Chris Wallace.  #GOPDebate http://t.…"
"63",63,"629697105360240640","Donald Trump","2015-08-07 09:54:23 -0700","Positive"," NYC","Eastern Time (US & Canada)","RT @FrankLuntz: Before the #GOPDebate, 14 focus groupers said they had favorable view of Trump.  After, only 3 saw him positively.  http://…"
"64",64,"629697105318117376","No candidate mentioned","2015-08-07 09:54:23 -0700","Positive","San Diego","Pacific Time (US & Canada)","RT @_Holly_Renee: Just made my first donation to @CarlyFiorina. So impressed by her #GOPDebate performance. #Fiorina http://t.co/JLfhFvZ7ST"
"65",65,"629697102982066176","No candidate mentioned","2015-08-07 09:54:23 -0700","Negative","","","RT @TheJimHughes: If we want to stop sending foreign aid to places that burn our flag can we start with Berkeley? #GOPDebate"
"66",66,"629697101044158464","Rand Paul","2015-08-07 09:54:22 -0700","Neutral","Seattle, WA","Pacific Time (US & Canada)","RT @frankthorpNBC: The Rand Paul eye roll to Chris Christie at the #GOPDebate https://t.co/hf318QSoWD"
"67",67,"629697098318020608","John Kasich","2015-08-07 09:54:22 -0700","Neutral","","Central Time (US & Canada)","RT @JohnKasich: Scrap the President's Iran deal. Iran can’t get a nuke. #Kasich4Us #GOPDebate http://t.co/9TrZxOnLZF"
"68",68,"629697098171187200","No candidate mentioned","2015-08-07 09:54:22 -0700","Neutral","","Mountain Time (US & Canada)","Trying to decide if it's too early to come back to Twitter fulltime. Was gonna wait closer to election but the #GOPDebate may have me hooked"
"69",69,"629697097973919744","Donald Trump","2015-08-07 09:54:22 -0700","Positive","Oxnerd, California","Arizona","RT @MsPackyetti: Donald Trump's campaign reveals 1 important thing: Twitter Trolls are real people.  And they vote.   That should scare eve…"
"70",70,"629697097885945856","Donald Trump","2015-08-07 09:54:21 -0700","Negative","Vatican City","","RT @Bipartisanism: Those saying ""don't worry, Trump will NEVER be elected"" need to remember we elected George Bush. Twice. #GOPDebate http:…"
"71",71,"629697097479155712","Donald Trump","2015-08-07 09:54:21 -0700","Negative","Pittsburgh, PA","Eastern Time (US & Canada)","Fox News Had Its Own #GOPDebate Agenda: Promote Carly ""never mention fired from HP"" Fiorina, &amp; run Trump out of race http://t.co/9k1eujdFo7"
"72",72,"629697097369923584","No candidate mentioned","2015-08-07 09:54:21 -0700","Negative","","","RT @HlLLARY: Oh, one more thing. Did anyone hear anything about affordable child care for working families last night in the #GOPDebate ? I…"
"73",73,"629697094182416384","Jeb Bush","2015-08-07 09:54:21 -0700","Negative","TEXAS is the greatest state","Central Time (US & Canada)","RT @NaughtyBeyotch: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/WQnSuPSPkC"""
"74",74,"629697093880414208","No candidate mentioned","2015-08-07 09:54:21 -0700","Positive","Illinois, SW of Chicago","Central Time (US & Canada)","@marthamaccallum @billhemmer #gopdebate Bill and Martha were the A Team in the first debate. 2nd debate was an ambush."
"75",75,"629697091443531776","Donald Trump","2015-08-07 09:54:20 -0700","Negative","","Quito","The Country's going to hell and Megyn Kelly on #FoxNews is attacking Trump for a ""war on women?"" #GOPDebate"
"76",76,"629697088583004160","No candidate mentioned","2015-08-07 09:54:19 -0700","Positive","Walland, Tn","Eastern Time (US & Canada)","RT @Franklin_Graham: 1st #GOPDebate--Encouraging to see several candidates express their faith in God and His Son, Jesus Christ. http://t.c…"
"77",77,"629697087219707904","Donald Trump","2015-08-07 09:54:19 -0700","Negative","","","RT @SnarkyDemo: #DonaldTrump said he’s not “politically correct.”  Which, of course, is Trumpspeak for “Let’s face it, I’m huge asshole.” #…"
"78",78,"629697086145982464","No candidate mentioned","2015-08-07 09:54:19 -0700","Negative","Holland, Michigan USA ","Eastern Time (US & Canada)","RT @Bipartisanism: A message to the #GOPDebate candidates: http://t.co/WFK5CmVgiN"
"79",79,"629697080630468608","No candidate mentioned","2015-08-07 09:54:17 -0700","Negative","","","RT @davidcicilline: This is the worst episode of The Apprentice that I've ever seen. #GOPDebate"
"80",80,"629697077434449920","No candidate mentioned","2015-08-07 09:54:17 -0700","Neutral","Searcy","Central Time (US & Canada)","RT @GovMikeHuckabee: Luntz: ""As the lines go up, they almost reach 100. It almost never happens in the dial research we do."" #GOPDebate htt…"
"81",81,"629697076469891072","No candidate mentioned","2015-08-07 09:54:16 -0700","Negative","","Eastern Time (US & Canada)","RT @lolhayley: ""The purpose of the military is to kill people and break things."" - something an actual man running for president just said …"
"82",82,"629697071113719808","No candidate mentioned","2015-08-07 09:54:15 -0700","Negative","Madison, NJ","Eastern Time (US & Canada)","Wondering if I could get the Republican Party to pay for my liver transplant after playing @mtaibbi #GOPDebate drinking game last night."
"83",83,"629697070757249024","No candidate mentioned","2015-08-07 09:54:15 -0700","Positive","","","RT @BrandonDHowell: Great way to start Friday. #CarlyFiorina @CarlyFiorina #GOPDebate http://t.co/1ai9CuZ8bY"
"84",84,"629697065057042432","Ted Cruz","2015-08-07 09:54:14 -0700","Positive","Arrington, TN","Eastern Time (US & Canada)","RT @tedcruz: If elected, on my first day as President, I'll rescind every illegal and unconstitutional executive order enacted by Pres. Oba…"
"85",85,"629697061924044800","Donald Trump","2015-08-07 09:54:13 -0700","Neutral","","Pacific Time (US & Canada)","RT @Ronnie2K: Donald Trump during #GOPDebate be like... https://t.co/jCUirk1i1u"
"86",86,"629697061550624768","No candidate mentioned","2015-08-07 09:54:13 -0700","Neutral","","Eastern Time (US & Canada)","RT @bruneski: Was upstairs putting the kids to bed. How many questions about climate change did I miss? #GOPDebate #GOPClownCar"
"87",87,"629697053740912640","No candidate mentioned","2015-08-07 09:54:11 -0700","Negative","The District. ","Quito","They’re all Todd Akin now: How the Planned Parenthood sting backfired on Republicans #GOPDebate #StandwithPP  http://t.co/ekXPfKtHQn"
"88",88,"629697053317173248","No candidate mentioned","2015-08-07 09:54:11 -0700","Negative","Southwest USA","","RT @learjetter: Hey @Foxnews let #REPUBLICANS digest #GOPDebate before allowing crazy @DWStweets to TRASH OUR #GOP! @LadySandersfarm http:/…"
"89",89,"629697052344123392","Donald Trump","2015-08-07 09:54:11 -0700","Negative","9/10th mile north Nowhere OK","","RT @TheBaxterBean: Watch Donald Trump Receive Enormous Applause for Horribly Misogynistic #GOPDebate Answer http://t.co/R4e8TpOtd5 http://t…"
"90",90,"629697052079882240","No candidate mentioned","2015-08-07 09:54:11 -0700","Neutral","Seattle, WA","Alaska","A few of my favorite #Twitter responses to the #GOPDebate last night: http://t.co/2IqcdrCdlm http://t.co/7TDMA3VLM8"
"91",91,"629697046044237824","No candidate mentioned","2015-08-07 09:54:09 -0700","Positive","Stevens Point // DeKalb","Mountain Time (US & Canada)","Even though she's a super conservative reporter, I actually like Megyn Kelly's interview style &amp; she did great at the #GOPDebate"
"92",92,"629697045742252032","No candidate mentioned","2015-08-07 09:54:09 -0700","Negative","Los Angeles","","RT @kingsthings: The #GOPdebate is not a debate at all. It's a series of 1 minute opportunities to avoid answering a question one candidate…"
"93",93,"629697036363935744","No candidate mentioned","2015-08-07 09:54:07 -0700","Positive","","","RT @MelissaGracey: Credit for this joke goes to someone else but it is funny! #GOPDebate http://t.co/iCreDSSplR"
"94",94,"629697036258914304","No candidate mentioned","2015-08-07 09:54:07 -0700","Positive","Boise, Idaho","Mountain Time (US & Canada)","RT @Reince: Simply incredible. http://t.co/apXM8AO8jf Last night's #GOPDebate doubled the previous record for most-watched primary debate i…"
"95",95,"629697034694565888","No candidate mentioned","2015-08-07 09:54:06 -0700","Negative","Washington, DC","Eastern Time (US & Canada)","RT @KateThomas: This literally couldn't be more true for me. ""I Watched the #GOPDebate &amp; All I Got Was a Lousy Hangover"" http://t.co/cxch7X…"
"96",96,"629697030869372928","Donald Trump","2015-08-07 09:54:06 -0700","Negative","191 Throckmorton St. Freehold","","RT @fl_dreamer: Haha a little saas from @voxdotcom this morning towards @realDonaldTrump. #FactChecked #GOPDebate http://t.co/dAeCtmLlaj"
"97",97,"629697026981281792","Jeb Bush","2015-08-07 09:54:05 -0700","Neutral","TEXAS is the greatest state","Central Time (US & Canada)","RT @TexasCruzn: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/1z3VuFjZlw"""
"98",98,"629697026955939840","No candidate mentioned","2015-08-07 09:54:05 -0700","Negative","Austin, Texas","","RT @zellieimani: What people saw in person vs what we saw on tv. #GOPDebate http://t.co/QlGsXRH5Hw"
"99",99,"629697026905653248","Marco Rubio","2015-08-07 09:54:05 -0700","Negative","lib utopia, with unicorns","Pacific Time (US & Canada)","RT @TheBaxterBean: Marco Rubio Told To His Face He's 'Candidate Of Yesterday' For His Anti-Gay Bigotry http://t.co/a4EiuETTLf #GOPDebate ht…"
"100",100,"629697026054172672","Donald Trump","2015-08-07 09:54:04 -0700","Negative","Las Vegas, Nevada","America/Los_Angeles","RT @carIisIe: None of them have made Trump look out of place or foolish yet. Think about that. When you're done crying, think about it agai…"
"101",101,"629697025802526720","No candidate mentioned","2015-08-07 09:54:04 -0700","Neutral","","","RT @akbarjenkins: Maybe the GOP just got Piven &amp; Cloward confused with Pinkard &amp; Bowden? ""She thinks I steal cars..."" @kevinbaker @KevinMKr…"
"102",102,"629697023877341184","No candidate mentioned","2015-08-07 09:54:04 -0700","Positive","","Mountain Time (US & Canada)","Had a great time watching the #GOPDebate last night http://t.co/qCmxMU8MLP"
"103",103,"629697023663546368","Donald Trump","2015-08-07 09:54:04 -0700","Negative","","","RT @JRehling: #GOPDebate Donald Trump says that he doesn't have time for political correctness. How does calling women ""fat pigs"" save him …"
"104",104,"629697022866493440","No candidate mentioned","2015-08-07 09:54:04 -0700","Negative","","Mountain Time (US & Canada)","RT @theonlyadult: This is the @POTUS we have now. One of the people on TV now might be the next one. RIP everything. #GOPDebate http://t.co…"
"105",105,"629697020723376128","Donald Trump","2015-08-07 09:54:03 -0700","Neutral","Euro Swamp","Amsterdam","I think @realDonaldTrump was caught by surprise by that first question and was never able to recover his equilibrium. #GOPDebate"
"106",106,"629697014922526720","No candidate mentioned","2015-08-07 09:54:02 -0700","Negative","Los Angeles","Pacific Time (US & Canada)","RT @kirahoffy: ""@FoxNews web stream and mobile app fail during #GOPDebate” … Why am I not surprised? http://t.co/tkpEsoOEZT"
"107",107,"629697014557769728","John Kasich","2015-08-07 09:54:02 -0700","Positive","","Central Time (US & Canada)","RT @JohnKasich: John Kasich helped Ohioans create 350,000 new jobs. He can do it for America. #GOPDebate http://t.co/kBzfBJyp2C"
"108",108,"629697014494822400","No candidate mentioned","2015-08-07 09:54:02 -0700","Positive","USA","Eastern Time (US & Canada)","Please help the Maryknoll Sisters replace windows in their convent https://t.co/fDgXG3VV13 #Catholic #gofundme #trcot #GOPDebate"
"109",109,"629697014356312064","No candidate mentioned","2015-08-07 09:54:02 -0700","Neutral","","Central Time (US & Canada)","RT @CarlyFiorina: At #GOPDebate, I won over our largest audience yet. Can you chip in $3 to help us keep it up?https://t.co/nzYnC1JRxS http…"
"110",110,"629697012510789632","Donald Trump","2015-08-07 09:54:01 -0700","Negative","Earth","Mountain Time (US & Canada)","Trump just said @JebBush is a true gentleman &amp; then they started violently 69ing. #GOPDebate"
"111",111,"629697002830327808","No candidate mentioned","2015-08-07 09:53:59 -0700","Negative","PDX","Eastern Time (US & Canada)","RT @cameronesposito: Ugh will these guys ever shut up about how much they respect women? #GOPDebate"
"112",112,"629697001840508928","Donald Trump","2015-08-07 09:53:59 -0700","Negative","","","RT @SnarkyDemo: What did the #GOPDebate teach us about a future President Trump?  America probably won’t be safe, except if we’re attacked …"
"113",113,"629696992285831168","No candidate mentioned","2015-08-07 09:53:56 -0700","Negative","Seattle ","","RT @congoboy: This is going to be a long, tiring election season.  ""shockingly ill-informed"" candidates at #GOPDebate http://t.co/vTK1k0tXi…"
"114",114,"629696989895077888","Marco Rubio","2015-08-07 09:53:56 -0700","Neutral","Arizona","Arizona","RT @AmyMek: ""God has blessed the Republican party with many great candidates, @TheDemocrats can't even find one"" - @marcorubio #GOPDebate"
"115",115,"629696989106712576","John Kasich","2015-08-07 09:53:56 -0700","Neutral","","Central Time (US & Canada)","RT @JohnKasich: The miracle can happen to you. Grow opportunity and grow jobs. #GOPDebate http://t.co/lNqhDgTUdK"
"116",116,"629696988557254656","Scott Walker","2015-08-07 09:53:55 -0700","Negative","Delaware","Eastern Time (US & Canada)","RT @MattyIceAZ: Scott Walker can't even carry his own state. #GOPDebate"
"117",117,"629696988158799872","No candidate mentioned","2015-08-07 09:53:55 -0700","Negative","","Mountain Time (US & Canada)","RT @XLNB: Black people, if you need anymore indication why Republicans hate us. Peep this. #GOPDebate http://t.co/Bh0ChsY5Eh"
"118",118,"629696986288009216","No candidate mentioned","2015-08-07 09:53:55 -0700","Negative","Springfield, IL","Central Time (US & Canada)","RT @Smethanie: Sure, God told me I should run, and the Tooth Fairy agreed and all the Teletubbies voted yes, so here I am. #GOPDebate"
"119",119,"629696985847611392","Donald Trump","2015-08-07 09:53:55 -0700","Negative","Las Vegas NV","","RT @palmaceiahome1: Trump should have told Megyn Kelly to go to HELL! #FoxNews #GOPDebate"
"120",120,"629696984681582592","No candidate mentioned","2015-08-07 09:53:55 -0700","Negative","Fla/Mich","Central Time (US & Canada)","RT @palmaceiahome1: Caller on the Rush Limbaugh show:""I have lost all respect for Fox News."" #FoxNews #GOPDebate"
